timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,timestamp_sec
1077891764676845.0,0.09102,0.028336,-0.197365,0.340056,-0.06134,-0.520854,-0.780584,1077891.0
1077891798329130.0,0.086032,0.035731,-0.189997,0.341462,-0.067655,-0.523329,-0.777788,1077891.0
1077891831657880.0,0.085912,0.039123,-0.196805,0.342012,-0.069824,-0.527616,-0.77445,1077891.0
1077891864986630.0,0.08583,0.042268,-0.203815,0.343024,-0.071517,-0.529939,-0.772259,1077891.0
1077891898179274.0,0.083136,0.043596,-0.186972,0.344371,-0.07345,-0.529626,-0.771693,1077891.0
1077891931508024.0,0.082803,0.046144,-0.193207,0.343674,-0.075746,-0.536904,-0.766737,1077891.0
1077891964836774.0,0.08222,0.048426,-0.1995,0.3433,-0.078078,-0.544714,-0.761141,1077891.0
1077891997984738.0,0.082234,0.050709,-0.184371,0.341317,-0.07792,-0.549023,-0.75895,1077891.0
1077892031313488.0,0.082035,0.05284,-0.189823,0.342554,-0.079261,-0.550205,-0.757396,1077892.0
1077892064642238.0,0.082004,0.055052,-0.195445,0.343575,-0.081398,-0.550231,-0.756688,1077892.0
1077892098090934.0,0.077213,0.049222,-0.170822,0.342374,-0.078748,-0.544329,-0.761765,1077892.0
1077892131419684.0,0.077104,0.050762,-0.175058,0.342845,-0.081948,-0.545308,-0.760514,1077892.0
1077892164748434.0,0.076804,0.052075,-0.17916,0.343633,-0.084834,-0.546194,-0.759205,1077892.0
1077892197837533.0,0.075824,0.049015,-0.168779,0.341923,-0.082932,-0.54563,-0.760591,1077892.0
1077892231166283.0,0.074926,0.049224,-0.172018,0.342295,-0.083379,-0.545889,-0.760189,1077892.0
1077892264495033.0,0.073892,0.049718,-0.174954,0.345792,-0.085433,-0.543664,-0.759973,1077892.0
1077892298035674.0,0.074869,0.063966,-0.20068,0.347225,-0.088699,-0.541656,-0.760379,1077892.0
1077892331364424.0,0.073837,0.063832,-0.205113,0.34745,-0.090485,-0.542565,-0.759417,1077892.0
1077892364693174.0,0.072767,0.062711,-0.209795,0.345839,-0.090348,-0.543329,-0.759622,1077892.0
1077892398159632.0,0.072781,0.064251,-0.220035,0.342733,-0.089224,-0.542151,-0.762001,1077892.0
1077892431488382.0,0.071476,0.062054,-0.224675,0.34192,-0.088212,-0.542106,-0.762516,1077892.0
1077892464817132.0,0.06994,0.059503,-0.229254,0.341232,-0.086762,-0.54074,-0.763959,1077892.0
1077892498504181.0,0.076239,0.061983,-0.228219,0.338773,-0.084805,-0.538986,-0.766508,1077892.0
1077892531832931.0,0.07517,0.05927,-0.233089,0.338429,-0.083494,-0.537325,-0.767969,1077892.0
1077892565161681.0,0.073963,0.056709,-0.237895,0.3376,-0.082405,-0.54047,-0.766242,1077892.0
1077892598781091.0,0.079815,0.033979,-0.175316,0.335642,-0.07914,-0.544807,-0.764373,1077892.0
1077892632109841.0,0.079522,0.029903,-0.177601,0.336266,-0.072855,-0.548548,-0.762045,1077892.0
1077892665438591.0,0.079856,0.025279,-0.179818,0.335305,-0.065963,-0.551056,-0.761286,1077892.0
1077892699100487.0,0.081112,0.013752,-0.153471,0.331259,-0.061505,-0.549549,-0.764513,1077892.0
1077892732429237.0,0.082121,0.010291,-0.154354,0.334809,-0.056951,-0.546645,-0.765401,1077892.0
1077892765757987.0,0.083424,0.00739,-0.154961,0.339335,-0.050018,-0.546845,-0.763748,1077892.0
1077892799763600.0,0.079125,0.001072,-0.131001,0.342986,-0.042003,-0.550659,-0.759849,1077892.0
1077892833092350.0,0.081151,-0.002734,-0.130743,0.342635,-0.031558,-0.552594,-0.759108,1077892.0
1077892866421100.0,0.083482,-0.0057,-0.131481,0.339585,-0.030428,-0.54932,-0.762892,1077892.0
1077892899899718.0,0.081456,-0.009897,-0.127869,0.337651,-0.040034,-0.547699,-0.764471,1077892.0
1077892933228468.0,0.082896,-0.009648,-0.129514,0.339451,-0.04954,-0.550138,-0.761359,1077892.0
1077892966557218.0,0.084149,-0.009639,-0.130559,0.34114,-0.050906,-0.554708,-0.757186,1077892.0
1077892999714249.0,0.083123,-0.010345,-0.127782,0.344242,-0.043998,-0.558244,-0.753608,1077892.0
1077893033042999.0,0.084183,-0.009961,-0.127682,0.350145,-0.039845,-0.55673,-0.752239,1077893.0
1077893066371749.0,0.08633,-0.010137,-0.127448,0.352659,-0.029805,-0.553737,-0.753736,1077893.0
1077893099417842.0,0.089133,-0.010948,-0.121854,0.352364,-0.015254,-0.552233,-0.755411,1077893.0
1077893132746592.0,0.092482,-0.011371,-0.120722,0.355677,-0.002624,-0.544947,-0.759289,1077893.0
1077893166075342.0,0.095955,-0.011254,-0.119562,0.360807,0.00474,-0.5343,-0.764408,1077893.0
1077893199112667.0,0.099583,-0.01026,-0.112252,0.363311,0.010627,-0.526285,-0.768711,1077893.0
1077893232441417.0,0.103061,-0.010441,-0.110923,0.36668,0.02074,-0.523112,-0.76907,1077893.0
1077893265770167.0,0.105983,-0.010754,-0.109474,0.373512,0.033425,-0.521161,-0.766657,1077893.0
1077893299120200.0,0.10865,-0.010237,-0.106762,0.382632,0.046323,-0.517675,-0.763846,1077893.0
1077893332448950.0,0.111553,-0.010836,-0.105646,0.39157,0.05921,-0.515068,-0.76018,1077893.0
1077893365777700.0,0.115237,-0.01159,-0.10507,0.398504,0.070296,-0.516708,-0.754497,1077893.0
1077893399098927.0,0.120008,-0.013137,-0.104312,0.402846,0.080337,-0.518466,-0.749969,1077893.0
1077893432427677.0,0.125891,-0.01552,-0.104008,0.406321,0.087241,-0.515109,-0.749636,1077893.0
1077893465756427.0,0.133008,-0.017856,-0.103875,0.408845,0.08999,-0.510977,-0.750766,1077893.0
1077893499065000.0,0.141336,-0.019982,-0.104142,0.410804,0.092632,-0.508561,-0.751016,1077893.0
1077893532393750.0,0.150682,-0.02208,-0.104426,0.411734,0.097283,-0.508023,-0.750283,1077893.0
1077893565722500.0,0.161174,-0.02398,-0.104951,0.412368,0.101504,-0.508815,-0.748837,1077893.0
1077893598879199.0,0.172498,-0.022636,-0.094159,0.414728,0.103712,-0.509087,-0.747044,1077893.0
1077893632207949.0,0.185119,-0.024215,-0.09481,0.415519,0.103367,-0.509675,-0.746251,1077893.0
1077893665536699.0,0.199128,-0.025565,-0.09603,0.414588,0.099407,-0.508728,-0.747951,1077893.0
1077893698768857.0,0.213471,-0.021398,-0.091135,0.413307,0.09268,-0.506749,-0.750861,1077893.0
1077893732097607.0,0.229484,-0.021716,-0.093252,0.411562,0.086086,-0.506444,-0.752809,1077893.0
1077893765426357.0,0.246086,-0.021804,-0.095687,0.411658,0.079085,-0.505735,-0.754,1077893.0
1077893798637521.0,0.262578,-0.017192,-0.089928,0.414505,0.071077,-0.503794,-0.754536,1077893.0
1077893831966271.0,0.279871,-0.016963,-0.091948,0.419846,0.064647,-0.500481,-0.754366,1077893.0
1077893865295021.0,0.297409,-0.017122,-0.093126,0.426471,0.062674,-0.499385,-0.751538,1077893.0
1077893898623771.0,0.31543,-0.017948,-0.093384,0.43142,0.064107,-0.50423,-0.745332,1077893.0
1077893931952521.0,0.334187,-0.019983,-0.093229,0.433909,0.064395,-0.507584,-0.741576,1077893.0
1077893965281271.0,0.35332,-0.023198,-0.09329,0.433499,0.06194,-0.506164,-0.742994,1077893.0
1077893998610021.0,0.372269,-0.026868,-0.093791,0.43191,0.058311,-0.503141,-0.746259,1077893.0
1077894031938771.0,0.390683,-0.030665,-0.09451,0.429952,0.057897,-0.503835,-0.746953,1077894.0
1077894065267521.0,0.408259,-0.034569,-0.09546,0.428512,0.059957,-0.506613,-0.745739,1077894.0
1077894098608729.0,0.425501,-0.038694,-0.099121,0.426486,0.060492,-0.509199,-0.745095,1077894.0
1077894131937479.0,0.44165,-0.042186,-0.101255,0.423936,0.058185,-0.512151,-0.744711,1077894.0
1077894165266229.0,0.457007,-0.045383,-0.103774,0.422506,0.054856,-0.515725,-0.743308,1077894.0
1077894198603745.0,0.471046,-0.044267,-0.100818,0.421579,0.053138,-0.518792,-0.741824,1077894.0
