timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,timestamp_sec
1092750390183350.0,3.709632,-0.104148,-0.349493,0.470183,-0.000942,-0.530441,-0.705379,1092750.0
1092750423512100.0,3.71044,-0.104237,-0.349666,0.469586,-0.002124,-0.52853,-0.707206,1092750.0
1092750456818471.0,3.711042,-0.104714,-0.34803,0.470377,-0.002367,-0.52647,-0.708215,1092750.0
1092750490147221.0,3.711509,-0.104598,-0.348099,0.471119,-0.002879,-0.524998,-0.708812,1092750.0
1092750523475971.0,3.712195,-0.10442,-0.348311,0.470515,-0.003875,-0.523699,-0.710169,1092750.0
1092750556811777.0,3.712626,-0.104478,-0.347996,0.469689,-0.004614,-0.521967,-0.711984,1092750.0
1092750590140527.0,3.713289,-0.104586,-0.348164,0.469085,-0.004746,-0.520859,-0.713192,1092750.0
1092750623469277.0,3.714003,-0.104853,-0.348403,0.468352,-0.004915,-0.519939,-0.714343,1092750.0
1092750656798198.0,3.714473,-0.105259,-0.347958,0.467642,-0.005282,-0.518726,-0.715686,1092750.0
1092750690126948.0,3.715401,-0.105616,-0.348319,0.466767,-0.005202,-0.518337,-0.716539,1092750.0
1092750723455698.0,3.716492,-0.105953,-0.34871,0.465785,-0.00521,-0.517972,-0.717442,1092750.0
1092750756775288.0,3.717448,-0.10649,-0.348345,0.46444,-0.005515,-0.517625,-0.71856,1092750.0
1092750790104038.0,3.718771,-0.107021,-0.348823,0.463483,-0.005708,-0.517511,-0.719259,1092750.0
1092750823432788.0,3.720292,-0.107744,-0.349312,0.462638,-0.005405,-0.517605,-0.719737,1092750.0
1092750856626507.0,3.722083,-0.108019,-0.348476,0.461279,-0.005149,-0.517517,-0.720674,1092750.0
1092750889955257.0,3.724345,-0.108712,-0.348956,0.459572,-0.004906,-0.517717,-0.721622,1092750.0
1092750923284007.0,3.726825,-0.109394,-0.349321,0.458278,-0.004173,-0.51822,-0.722088,1092750.0
1092750956551594.0,3.729507,-0.109612,-0.348155,0.457649,-0.003586,-0.518397,-0.722363,1092750.0
1092750989880344.0,3.732367,-0.110152,-0.348231,0.457088,-0.003048,-0.518157,-0.722893,1092750.0
1092751023209094.0,3.735435,-0.110539,-0.348238,0.4568,-0.00273,-0.517992,-0.723195,1092751.0
1092751056616800.0,3.738554,-0.110208,-0.347216,0.457086,-0.002646,-0.518232,-0.722842,1092751.0
1092751089945550.0,3.741766,-0.110234,-0.346929,0.457556,-0.002422,-0.51838,-0.722439,1092751.0
