timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,timestamp_sec
1092900311926375.0,0.081098,0.57842,0.054338,0.658481,-0.196294,-0.244566,-0.684148,1092900.0
1092900345215258.0,0.085138,0.601501,0.050757,0.656366,-0.20032,-0.244717,-0.684959,1092900.0
1092900378544008.0,0.089921,0.623781,0.050156,0.654982,-0.201388,-0.243357,-0.686453,1092900.0
1092900411872758.0,0.094948,0.645297,0.050598,0.654584,-0.200097,-0.244137,-0.686934,1092900.0
1092900445278971.0,0.100325,0.668631,0.050668,0.653597,-0.201512,-0.24495,-0.68717,1092900.0
1092900478607721.0,0.105637,0.69227,0.051603,0.653824,-0.203893,-0.244187,-0.686523,1092900.0
1092900511936471.0,0.110686,0.716017,0.054163,0.657512,-0.203484,-0.24452,-0.682995,1092900.0
1092900545232074.0,0.115434,0.73924,0.061989,0.660878,-0.203397,-0.244704,-0.679699,1092900.0
1092900578560824.0,0.12074,0.763603,0.068898,0.661969,-0.206996,-0.245079,-0.677411,1092900.0
1092900611889574.0,0.125935,0.787147,0.078188,0.664498,-0.209085,-0.246065,-0.673927,1092900.0
1092900645110850.0,0.13079,0.809947,0.089726,0.667769,-0.207887,-0.24653,-0.670888,1092900.0
1092900678439600.0,0.136367,0.830963,0.102584,0.669762,-0.205374,-0.247905,-0.669166,1092900.0
1092900711768350.0,0.141659,0.850867,0.116147,0.669304,-0.207179,-0.246331,-0.669649,1092900.0
1092900745039109.0,0.146118,0.870326,0.130565,0.668273,-0.208453,-0.241759,-0.671946,1092900.0
1092900778367859.0,0.150142,0.887659,0.144879,0.668828,-0.204349,-0.240014,-0.673278,1092900.0
1092900811696609.0,0.153508,0.904295,0.158858,0.6684,-0.201256,-0.239419,-0.674846,1092900.0
1092900845030974.0,0.155707,0.920538,0.173791,0.666053,-0.201937,-0.234069,-0.678827,1092900.0
1092900878359724.0,0.15766,0.935325,0.1867,0.66528,-0.199582,-0.228144,-0.68229,1092900.0
1092900911688474.0,0.158734,0.949065,0.198204,0.665723,-0.195554,-0.223951,-0.684411,1092900.0
1092900945009201.0,0.159429,0.963882,0.208008,0.664773,-0.195193,-0.218766,-0.687109,1092900.0
1092900978337951.0,0.159517,0.978811,0.215977,0.664452,-0.195625,-0.213072,-0.689082,1092900.0
1092901011666701.0,0.159028,0.993892,0.222319,0.666205,-0.19414,-0.208974,-0.689065,1092901.0
1092901044830225.0,0.159509,1.011989,0.227794,0.667213,-0.192418,-0.206074,-0.689446,1092901.0
1092901078158975.0,0.158705,1.028001,0.231892,0.666713,-0.19344,-0.201921,-0.690871,1092901.0
1092901111487725.0,0.156992,1.044829,0.235733,0.667155,-0.194798,-0.200154,-0.690577,1092901.0
1092901144758339.0,0.15555,1.064898,0.241931,0.669265,-0.193756,-0.201705,-0.688374,1092901.0
1092901178087089.0,0.152639,1.082346,0.246871,0.672273,-0.192757,-0.20241,-0.68551,1092901.0
1092901211475252.0,0.149965,1.100386,0.253124,0.674897,-0.19274,-0.203144,-0.682713,1092901.0
1092901244804002.0,0.147199,1.118202,0.261484,0.676476,-0.190761,-0.205165,-0.681101,1092901.0
1092901278132752.0,0.14499,1.135924,0.27186,0.675216,-0.189033,-0.207146,-0.682232,1092901.0
1092901311461502.0,0.143245,1.15354,0.283593,0.670931,-0.19135,-0.21064,-0.684739,1092901.0
1092901344711985.0,0.141548,1.168199,0.29712,0.667243,-0.192653,-0.216058,-0.686288,1092901.0
1092901378040735.0,0.140847,1.182397,0.310723,0.666167,-0.189008,-0.217324,-0.687945,1092901.0
1092901411243614.0,0.139609,1.1916,0.325551,0.665961,-0.184525,-0.21623,-0.689704,1092901.0
1092901444572364.0,0.14012,1.204622,0.338007,0.663952,-0.182691,-0.217936,-0.69159,1092901.0
1092901477901114.0,0.140912,1.217581,0.349349,0.662002,-0.181534,-0.222546,-0.692294,1092901.0
1092901511229864.0,0.141753,1.230028,0.359772,0.660967,-0.180796,-0.225388,-0.692558,1092901.0
1092901544482926.0,0.141905,1.242343,0.367889,0.660547,-0.181377,-0.226143,-0.69256,1092901.0
1092901577811676.0,0.142514,1.254738,0.375926,0.661071,-0.18235,-0.22708,-0.691497,1092901.0
1092901611140426.0,0.143306,1.267339,0.382823,0.661799,-0.183274,-0.227845,-0.690304,1092901.0
1092901644432912.0,0.144447,1.27867,0.387944,0.661701,-0.18456,-0.227307,-0.690233,1092901.0
1092901677761662.0,0.146168,1.292334,0.392637,0.660848,-0.186445,-0.227288,-0.690549,1092901.0
1092901711090412.0,0.148409,1.30642,0.396421,0.660004,-0.187455,-0.226924,-0.691203,1092901.0
1092901744382845.0,0.150707,1.319996,0.401,0.660252,-0.186644,-0.225648,-0.691603,1092901.0
1092901777711595.0,0.153556,1.334991,0.404282,0.660588,-0.186213,-0.2243,-0.691837,1092901.0
1092901811040345.0,0.156963,1.350441,0.407695,0.660924,-0.185775,-0.223422,-0.691917,1092901.0
1092901844298226.0,0.161204,1.365401,0.409552,0.66117,-0.186494,-0.221558,-0.692088,1092901.0
1092901877626976.0,0.165835,1.381281,0.414198,0.661288,-0.187642,-0.219933,-0.692183,1092901.0
1092901910955726.0,0.170564,1.396935,0.420091,0.662851,-0.19003,-0.215049,-0.691571,1092901.0
1092901944217209.0,0.17537,1.414416,0.422702,0.665838,-0.191279,-0.212156,-0.689247,1092901.0
1092901977545959.0,0.18001,1.43131,0.431229,0.667791,-0.192975,-0.218299,-0.684954,1092901.0
1092902010874709.0,0.184804,1.448035,0.440814,0.667323,-0.201182,-0.225954,-0.680552,1092902.0
1092902044179555.0,0.190043,1.464818,0.444768,0.666645,-0.207723,-0.223236,-0.680148,1092902.0
