timestamp,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,datetime
1724943314324.0,0.026688,0.008937,0.002436,0.654645,-0.198241,-0.250866,-0.684986,2024-08-29 22:55:14
1724943314335.0,0.028367,0.00996,0.001296,0.654478,-0.198248,-0.250645,-0.685225,2024-08-29 22:55:14
1724943314371.0,0.030318,0.012119,0.000397,0.654114,-0.199652,-0.250742,-0.685129,2024-08-29 22:55:14
1724943314425.0,0.032175,0.014593,-0.000626,0.654117,-0.201154,-0.251522,-0.6844,2024-08-29 22:55:14
1724943314442.0,0.034118,0.016802,-0.000778,0.65436,-0.202064,-0.252454,-0.683557,2024-08-29 22:55:14
1724943314473.0,0.036082,0.019363,-0.001515,0.654282,-0.203428,-0.251886,-0.683436,2024-08-29 22:55:14
1724943314501.0,0.038164,0.021974,-0.002209,0.654313,-0.205292,-0.250743,-0.68327,2024-08-29 22:55:14
1724943314542.0,0.037779,0.022999,-0.001172,0.654983,-0.206232,-0.249639,-0.682749,2024-08-29 22:55:14
1724943314570.0,0.040236,0.025816,-0.001564,0.654614,-0.207314,-0.248,-0.683372,2024-08-29 22:55:14
1724943314601.0,0.042928,0.029105,-0.001989,0.654346,-0.20835,-0.247029,-0.683665,2024-08-29 22:55:14
1724943314639.0,0.043753,0.03216,-0.002132,0.654751,-0.208954,-0.246415,-0.683315,2024-08-29 22:55:14
1724943314669.0,0.04676,0.036298,-0.00259,0.654833,-0.209886,-0.245843,-0.683156,2024-08-29 22:55:14
1724943314699.0,0.050034,0.040853,-0.003198,0.654413,-0.210735,-0.245469,-0.683432,2024-08-29 22:55:14
1724943314749.0,0.054048,0.045918,-0.00429,0.654611,-0.212411,-0.245045,-0.682876,2024-08-29 22:55:14
1724943314772.0,0.057314,0.051235,-0.005213,0.655391,-0.213789,-0.244467,-0.681904,2024-08-29 22:55:14
1724943314809.0,0.060804,0.056914,-0.006325,0.655358,-0.21512,-0.243566,-0.681839,2024-08-29 22:55:14
1724943314836.0,0.065426,0.062945,-0.007484,0.654914,-0.217082,-0.242333,-0.682084,2024-08-29 22:55:14
1724943314871.0,0.068796,0.069573,-0.009129,0.654746,-0.219715,-0.240113,-0.682186,2024-08-29 22:55:14
1724943314902.0,0.071815,0.076646,-0.011091,0.655808,-0.221003,-0.23813,-0.681445,2024-08-29 22:55:14
