时间,acce_x_avg,acce_y_avg,acce_z_avg,pos_x,pos_y,pos_z,平均平面速度,平均3d速度,总平面位移,总3d位移,角度
2024-08-29 22:56:05,-9.184300785388679,3.0917105682989092,-1.5744207678132132,-7.861547052448551,-6.99639166730183,0.9390636362661966,0.5375804178233146,0.6069450716415122,0.5205295959705494,0.58769419779204,256.31490276770603
2024-08-29 22:56:06,-8.976302321073536,2.8582638894307997,-2.0812363390311215,-7.176904343017578,-7.253911153564453,1.1036058347167967,0.7469748606642749,0.7870453584356734,0.7232827686934722,0.7620823336369505,247.0729713380288
2024-08-29 22:56:07,-9.270266197468958,2.66038301184188,-1.9089029228658072,-6.16619362109375,-7.21439367578125,1.0890218046875,1.0082837951581012,1.0132708237528036,0.9763035508154755,0.981132411226438,243.1496107071401
2024-08-29 22:56:08,-9.153656397113345,2.5051214770122314,-1.7634114794125064,-5.154166229797363,-7.0706467862854,1.0382268359069824,1.0218592864651466,1.0261539962245183,0.9894479102585622,0.993606400787369,248.9727126377369
2024-08-29 22:56:09,-9.39248972291474,2.2535711889863754,-1.7411552050651944,-4.351038980189732,-7.2155456875,1.0090456555524554,0.8281063923022091,0.8362532742060172,0.8018415768081079,0.8097300639899928,253.27842735814755
2024-08-29 22:56:10,-9.388278803472678,2.5072463841773027,-1.8944397464961196,-3.657843168457031,-7.707463718581628,0.9850487768386316,0.861797889490733,0.8700897264038295,0.8344637081976746,0.8424925675689177,257.4939729778964
2024-08-29 22:56:11,-9.304223115665533,2.516493362417155,-1.8727371148505367,-3.323098559821634,-8.404586920546587,0.957687266407686,0.7993227285480357,0.803386290489078,0.773969909316216,0.7779045739577612,263.68526523925414
2024-08-29 22:56:12,-9.1452886723834,2.6527973662565585,-1.853571340906817,-3.5449066025469382,-9.130168417118195,0.9372357371471776,0.7756045657734055,0.7797379040341703,0.7510041456242689,0.7550063797999731,298.94366036322594
2024-08-29 22:56:13,-9.295151916517442,2.9345524217909342,-1.7599145275442725,-4.167264732236329,-9.765068380185546,0.9006666725878906,0.907077548707505,0.9097135783967955,0.8783071271722127,0.8808595468102582,46.6687749194856
2024-08-29 22:56:14,-9.26231944825534,2.835782074144662,-1.5840832259235713,-5.067021393310546,-10.233723960296633,0.8970167808761597,1.0221264393977083,1.0248002570453003,0.9897069241960491,0.9922959333209254,59.41915035780798
2024-08-29 22:56:15,-9.338293842148046,2.757812327133131,-1.450921648984856,-6.06031200687803,-10.61334752205684,0.9205552516837284,1.0649742164647802,1.0682205030642449,1.0311961184648255,1.0343394416907825,53.72932717835474
2024-08-29 22:56:16,-9.15477481783792,2.752203423845027,-1.5966829285208977,-7.150981106872559,-11.067843625671388,0.939915008605957,1.1786839471869628,1.181115076053075,1.1412987942578536,1.143652812075157,53.4140061584639
2024-08-29 22:56:17,-9.154965912532298,2.756298556774538,-1.5112975165567506,-8.211403558725209,-11.496317251277045,0.9637402666579026,1.1462651270230457,1.1486034857493719,1.1099075802159866,1.1121717714950747,51.94303466926148
2024-08-29 22:56:18,-9.366597330402728,2.9416075304257108,-1.6263836178460491,-9.16013925998178,-11.87570993244349,0.950325575554286,1.0107260962828715,1.013999231377119,0.9786682079396058,0.9818375281180173,53.73689675091544
2024-08-29 22:56:19,-9.291786399455981,2.9740982772056697,-1.6857720715700941,-10.411593732147962,-12.398589619426447,0.9782071895841272,1.3953443841269246,1.3985054045821936,1.3510854902872769,1.3541462504618933,54.468934068018605
2024-08-29 22:56:20,-9.28113533590245,2.8351180725335494,-1.683938472815908,-11.335273412109377,-12.70853707142223,1.0239462287819605,0.9760020977806537,0.9794888338021444,0.9450443764889266,0.9484205193627568,55.810111097354806
2024-08-29 22:56:21,-9.086967587139673,3.054313392509972,-1.883433791795653,-12.23588016126019,-12.8102546400518,1.0891540964673914,0.9357975902261217,0.9414305956369899,0.9061160218252462,0.9115703602217557,67.25441581663017
2024-08-29 22:56:22,-9.191625131762073,2.9743698364011686,-1.888759292262675,-12.8262565928125,-12.4225813659375,1.08531451875,0.7180794040242335,0.726433525516653,0.6953036624743586,0.7033928017085516,76.46290476172312
2024-08-29 22:56:23,-9.316883938665882,2.5283647124715154,-1.9016418562812645,-13.205615703979491,-11.539684243530273,1.0077872774658203,0.9745610455603647,0.9860808779032555,0.9436505441446034,0.9548049960473026,80.7099975768594
2024-08-29 22:56:24,-9.183288480351337,2.4869502433459556,-2.0318275714212963,-13.503902988961356,-10.576249274222237,1.0039739722900392,1.0083378452786083,1.0097443008694666,0.9763556190356739,0.9777174642360342,78.42484872158623
2024-08-29 22:56:25,-9.139303871283804,2.5790939313030514,-1.7935814701855144,-13.840588803658624,-9.482769645743234,0.9826180313110352,1.1326434723395857,1.1346550553462558,1.0967184599599402,1.098666239639158,78.63582364638343
2024-08-29 22:56:26,-9.409384253433023,2.567806536277394,-1.7906880191491086,-14.116103993416075,-8.45623291192824,0.9447675040401337,1.0643434400527736,1.067519209562164,1.030584876999599,1.0336599194989204,79.85627132978931
2024-08-29 22:56:27,-9.426438205917941,2.648791573788126,-1.7562473067736006,-14.3005559684906,-7.587033416542053,0.9544120453720092,0.8874493892434479,0.8904690314853483,0.8593019343862578,0.8622257962119613,80.9425109684274
2024-08-29 22:56:28,-9.055453573579962,2.600059267902531,-1.6812166781609783,-14.460978,-6.926792,0.976183,0.8875440959390459,0.8912001313293161,0.6519536200397118,0.6546391937481153,80.81279214598355
